City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description
78,Montorio Al Vomano,IT,42.5831,13.6383,70.95,57,92,6.67,overcast clouds
79,Flinders,AU,-34.5833,150.8552,61.38,92,98,5.39,light rain
80,Lhokseumawe,ID,5.1801,97.1507,85.71,65,100,3.58,overcast clouds
81,Ponta Do Sol,PT,32.6667,-17.1,66.7,75,32,5.77,scattered clouds
82,Rincon,US,32.296,-81.2354,72.86,93,100,5.75,overcast clouds
83,Yumen,CN,40.2833,97.2,78.21,20,31,28.48,scattered clouds
84,Urgut,UZ,39.4022,67.2431,55.02,58,0,2.91,clear sky
85,Cabo San Lucas,MX,22.8909,-109.9124,75.61,65,90,1.99,overcast clouds
86,Hobart,AU,-42.8794,147.3294,59.25,74,20,9.22,few clouds
87,Port Alberni,CA,49.2413,-124.8028,63.12,49,100,4.0,overcast clouds
88,Castro,BR,-24.7911,-50.0119,49.23,79,97,3.09,overcast clouds
89,Cocorit,MX,27.5833,-109.9667,80.06,29,0,6.98,clear sky
90,Ixtapa,MX,20.7,-105.2,76.23,83,0,0.0,clear sky
91,Henties Bay,NA,-22.116,14.2845,62.65,47,0,1.36,clear sky
92,Yellowknife,CA,62.456,-114.3525,36.12,64,100,8.05,light snow
93,Skibbereen,IE,51.55,-9.2667,52.11,84,100,10.98,overcast clouds
94,Raga,SS,8.4596,25.678,75.99,66,100,3.22,overcast clouds
95,Sola,VU,-13.8833,167.55,86.67,74,75,0.0,broken clouds
96,Batagay,RU,67.6333,134.6333,53.4,47,88,2.37,light rain
97,Morant Bay,JM,17.8815,-76.4093,82.02,85,91,9.35,overcast clouds
98,Bethel,US,41.3712,-73.414,70.11,91,92,7.4,overcast clouds
99,Paamiut,GL,61.994,-49.6678,32.95,98,100,20.4,snow
100,Mizque,BO,-17.941,-65.3402,54.12,81,1,3.02,clear sky
101,Barrow,US,71.2906,-156.7887,24.82,80,100,12.66,overcast clouds
102,Makasar,ID,-5.14,119.4221,87.85,62,20,4.61,few clouds
103,Norman Wells,CA,65.282,-126.8329,44.64,61,75,4.61,broken clouds
104,Alghero,IT,40.5589,8.3181,53.69,94,0,4.61,clear sky
105,Vila Velha,BR,-20.3297,-40.2925,64.35,94,75,1.14,broken clouds
106,Hasaki,JP,35.7333,140.8333,70.29,76,83,11.56,broken clouds
107,Coihaique,CL,-45.5752,-72.0662,36.21,93,75,6.91,light rain
108,Luoyang,CN,34.6836,112.4536,85.87,34,10,4.36,clear sky
109,Rafaela,AR,-31.2503,-61.4867,55.99,57,33,3.0,scattered clouds
110,Puerto Ayora,EC,-0.7393,-90.3518,71.55,97,38,6.42,scattered clouds
111,Pampas,PE,-12.4,-74.9,47.19,89,77,2.13,broken clouds
112,Angoche,MZ,-16.2325,39.9086,71.49,91,4,4.63,clear sky
113,Clyde River,CA,70.4692,-68.5914,17.83,93,100,16.11,light snow
114,Vostok,RU,46.4856,135.8833,64.15,45,49,2.51,scattered clouds
115,Nhulunbuy,AU,-12.2333,136.7667,84.81,70,75,14.97,broken clouds
116,Warrington,GB,53.3925,-2.5802,54.97,87,23,14.97,few clouds
117,Saint-Philippe,RE,-21.3585,55.7679,67.59,73,32,7.27,scattered clouds
118,Georgetown,MY,5.4112,100.3354,91.33,74,20,4.61,few clouds
119,Ancud,CL,-41.8697,-73.8203,48.45,76,73,18.5,light rain
120,Butaritari,KI,3.0707,172.7902,82.31,79,78,13.69,broken clouds
121,Touros,BR,-5.1989,-35.4608,74.43,92,24,11.72,few clouds
122,General Roca,AR,-39.0333,-67.5833,47.62,42,90,7.63,overcast clouds
123,Carnarvon,AU,-24.8667,113.6333,72.68,54,11,16.31,few clouds
124,Flagstaff,US,35.1981,-111.6513,64.06,27,0,11.5,clear sky
125,Bengkulu,ID,-3.8004,102.2655,83.39,70,81,2.73,broken clouds
126,Saint-Francois,FR,46.4154,3.9054,63.84,82,96,3.44,overcast clouds
127,Ekibastuz,KZ,51.6667,75.3667,58.73,37,18,13.85,few clouds
128,Kirakira,SB,-10.4544,161.9205,84.54,72,23,4.18,few clouds
129,Paracuru,BR,-3.41,-39.0306,73.11,89,22,7.09,few clouds
130,Bukachacha,RU,52.9833,116.9167,54.14,51,86,9.17,overcast clouds
131,Berlevag,NO,70.8578,29.0864,41.0,81,100,5.75,overcast clouds
132,Simpang,ID,-1.2667,104.0833,86.58,65,66,4.99,broken clouds
133,Palmer,US,42.1584,-72.3287,69.62,87,75,4.61,broken clouds
134,Fortuna,US,40.5982,-124.1573,52.93,92,100,9.22,overcast clouds
135,Gutierrez,CO,4.2547,-74.0025,55.17,92,91,1.41,overcast clouds
136,Cornwall,CA,45.0181,-74.7281,53.56,87,100,0.0,overcast clouds
137,Kathu,TH,7.9178,98.3332,88.7,96,98,14.74,overcast clouds
138,Asau,RO,46.4333,26.4,51.28,93,98,1.63,overcast clouds
139,Stornoway,GB,58.2093,-6.3865,48.16,94,75,4.61,broken clouds
140,Moose Factory,CA,51.2585,-80.6094,44.6,70,75,10.36,broken clouds
141,High Level,CA,58.5169,-117.136,51.91,43,100,5.75,overcast clouds
142,Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,0.0,broken clouds
143,New Norfolk,AU,-42.7826,147.0587,58.91,58,8,1.99,clear sky
144,Beringovskiy,RU,63.05,179.3167,42.69,71,89,10.4,overcast clouds
145,Hobyo,SO,5.3505,48.5268,80.47,79,88,19.8,overcast clouds
