City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vostok,RU,2022-05-21 16:23:56,46.4856,135.8833,49.75,98,100,1.95
68,Bathsheba,BB,2022-05-21 16:23:56,13.2167,-59.5167,88.41,62,40,20.71
69,Bagdarin,RU,2022-05-21 16:23:56,54.4333,113.6,52.3,82,100,4.61
70,Lompoc,US,2022-05-21 16:23:56,34.6391,-120.4579,67.01,67,0,1.99
71,Ribeira Grande,PT,2022-05-21 16:23:57,38.5167,-28.7,64.8,100,100,8.05
72,Victoria,HK,2022-05-21 16:21:21,22.2855,114.1577,81.18,81,82,13.0
73,Pasighat,IN,2022-05-21 16:23:57,28.0667,95.3333,73.54,93,98,3.83
74,Matara,LK,2022-05-21 16:23:57,5.9485,80.5353,79.12,89,95,8.88
75,Comodoro Rivadavia,AR,2022-05-21 16:23:57,-45.8667,-67.5,55.26,41,0,10.36
76,Cape Town,ZA,2022-05-21 16:23:58,-33.9258,18.4232,62.28,71,20,6.91
77,Teguise,ES,2022-05-21 16:23:58,29.0605,-13.564,71.82,57,20,21.85
78,Cockburn Town,TC,2022-05-21 16:19:33,21.4612,-71.1419,79.99,83,82,18.23
79,Paamiut,GL,2022-05-21 16:23:58,61.994,-49.6678,36.63,77,64,10.2
80,Ponta Do Sol,PT,2022-05-21 16:23:58,32.6667,-17.1,74.03,75,74,1.7
81,Rundu,NA,2022-05-21 16:23:59,-17.9333,19.7667,62.17,17,1,3.96
82,Faya,SA,2022-05-21 16:23:59,18.3851,42.4509,80.71,26,62,4.41
83,Yumen,CN,2022-05-21 16:23:59,40.2833,97.2,68.38,29,1,21.83
84,Aklavik,CA,2022-05-21 16:23:59,68.2191,-135.0107,33.8,86,100,6.91
85,Mao,ES,2022-05-21 16:19:28,39.8885,4.2658,77.56,57,0,6.91
86,Ilulissat,GL,2022-05-21 16:24:00,69.2167,-51.1,33.82,80,75,0.0
87,Bengkulu,ID,2022-05-21 16:24:00,-3.8004,102.2655,77.74,85,99,2.3
88,Qandala,SO,2022-05-21 16:24:00,11.472,49.8728,88.11,48,100,0.54
89,Oussouye,SN,2022-05-21 16:24:00,12.485,-16.5469,93.38,44,100,12.35
90,Pevek,RU,2022-05-21 16:25:01,69.7008,170.3133,29.91,88,100,5.61
91,Birjand,IR,2022-05-21 16:25:01,32.8663,59.2211,84.67,6,20,11.5
92,Mahibadhoo,MV,2022-05-21 16:25:01,3.7833,72.9667,83.59,76,48,11.74
93,East London,ZA,2022-05-21 16:25:01,-33.0153,27.9116,58.14,94,0,4.61
94,Viedma,AR,2022-05-21 16:25:02,-40.8135,-62.9967,62.02,37,71,11.03
95,Inhambane,MZ,2022-05-21 16:25:02,-23.865,35.3833,69.78,100,75,13.8
96,Norman Wells,CA,2022-05-21 16:25:02,65.282,-126.8329,42.84,93,100,16.11
97,Buala,SB,2022-05-21 16:25:03,-8.145,159.5921,79.29,81,81,3.65
98,Kaitangata,NZ,2022-05-21 16:25:03,-46.2817,169.8464,44.89,92,99,12.88
99,Port Macquarie,AU,2022-05-21 16:25:03,-31.4333,152.9167,58.89,94,75,5.75
100,Turayf,SA,2022-05-21 16:21:45,31.6725,38.6637,86.25,20,0,20.71
101,Wundanyi,KE,2022-05-21 16:25:03,-3.4019,38.364,67.14,63,100,9.84
102,Debre Tabor,ET,2022-05-21 16:25:05,11.85,38.0167,70.16,26,100,7.92
103,Grootfontein,NA,2022-05-21 16:25:05,-19.5667,18.1167,60.37,17,0,4.61
104,Airai,TL,2022-05-21 16:25:05,-8.9266,125.4092,58.68,89,26,3.91
105,Port Hardy,CA,2022-05-21 16:20:56,50.6996,-127.4199,46.58,93,100,6.91
106,Codrington,AU,2022-05-21 16:25:06,-38.2667,141.9667,45.14,92,7,6.87
107,Strezhevoy,RU,2022-05-21 16:25:06,60.7333,77.5889,46.06,77,58,6.64
108,Narsaq,GL,2022-05-21 16:25:06,60.9167,-46.05,50.22,54,17,7.72
109,Stromness,GB,2022-05-21 16:25:07,58.965,-3.296,53.56,81,89,7.0
110,Kallaste,EE,2022-05-21 16:25:07,58.655,27.1592,61.03,55,94,12.28
