City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
227,Bajil,YE,84.92,overcast clouds,15.0584,43.2851,فندق حضرموت
229,Corn Island,NI,82.2,overcast clouds,12.1694,-83.0418,Big Fish Guest House
231,Bubaque,GW,77.68,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
232,Kollam,IN,77.63,overcast clouds,8.8833,76.6,The Raviz Ashtamudi
235,Umm Lajj,SA,75.7,clear sky,25.0213,37.2685,Moon light Furnished Units
239,Tamandare,BR,76.21,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
240,Vao,NC,75.47,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
241,Vanimo,PG,85.66,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
250,Mahibadhoo,MV,83.34,broken clouds,3.7833,72.9667,Omadhoo Inn
254,Kavieng,PG,85.95,broken clouds,-2.5744,150.7967,Nusa Island Retreat
258,Gashua,NG,80.71,broken clouds,12.871,11.0482,Forte Oil - Old Lorry Park
259,Dunmore Town,BS,78.94,few clouds,25.5,-76.65,Coral Sands Hotel
263,Sawakin,SD,81.57,clear sky,19.1059,37.3321,فندق الدويم
269,Honiara,SB,85.19,scattered clouds,-9.4333,159.95,Heritage Park Hotel
275,Poum,NC,76.87,scattered clouds,-20.2333,164.0167,
278,Cockburn Town,TC,79.54,clear sky,21.4612,-71.1419,Osprey Beach Hotel
279,Salinopolis,BR,77.86,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
280,Nabire,ID,85.21,broken clouds,-3.3667,135.4833,Hotel Nusantara I
281,Cayenne,GF,82.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
282,Huanren,CN,80.42,broken clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
283,Maunabo,PR,80.71,scattered clouds,18.0072,-65.8993,Maunacaribe
286,Trat,TH,86.2,overcast clouds,12.5,102.5,สวนหนิง-อัศ
287,Shingu,JP,76.73,overcast clouds,33.7333,135.9833,Shingu UI Hotel
289,Maragogi,BR,75.58,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
290,Bowen,AU,77.54,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
292,Labuhan,ID,85.96,broken clouds,-6.8844,112.2051,DoubleFAG
295,Korla,CN,81.09,overcast clouds,41.7597,86.1469,Gulisitan Hotel
300,Tessalit,ML,82.96,clear sky,20.1986,1.0114,
303,Uklana Mandi,IN,89.02,overcast clouds,29.5023,75.8849,वर्मा पेन्टर उकलाना मण्डी
305,Dingle,PH,88.07,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
308,Victoria,HK,78.96,overcast clouds,22.2855,114.1577,Mini Central
311,Kavaratti,IN,82.83,heavy intensity rain,10.5669,72.642,Hotels in Lakshadweep Islands
317,Kiunga,PG,87.21,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
321,Tautira,PF,79.21,few clouds,-17.7333,-149.15,Pension Oaoa
323,Samarai,PG,83.07,few clouds,-10.6167,150.6667,Nuli Sapi
326,Venezuela,VE,77.14,overcast clouds,8.0,-66.0,
330,Fayaoue,NC,78.91,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
336,Mehendiganj,BD,88.29,clear sky,22.8167,90.5333,"জেলা পরিষদ ডাকবাংলো, মেহেন্দিগঞ্জ, বরিশাল"
340,Buraydah,SA,81.05,clear sky,26.326,43.975,Mövenpick Qassim
343,Salalah,OM,82.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
344,Lahij,YE,82.92,clear sky,13.1667,44.5833,
345,Tari,NG,83.46,overcast clouds,12.4086,4.4914,
347,Karaton,ID,84.09,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
351,Iracoubo,GF,75.81,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
354,Marawi,PH,80.49,overcast clouds,7.9986,124.2928,Derogongan Residence
359,Udaipura,IN,89.35,clear sky,23.0833,78.5,Hotel Kanha Palace
365,Dingalan,PH,85.1,broken clouds,15.3897,121.3929,Fil Dane Inn
370,Chenghai,CN,78.71,broken clouds,23.4632,116.768,Guangdong Hotel
375,Itarema,BR,75.06,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
384,Quang Ngai,VN,89.19,light rain,15.1167,108.8,Central Hotel
386,Cartagena,CO,82.02,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
387,Merauke,ID,87.28,scattered clouds,-8.4667,140.3333,
388,Kashan,IR,76.08,clear sky,33.9831,51.4364,Manouchehri Traditional House
391,San Patricio,US,79.84,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
398,Iida,JP,77.04,clear sky,35.5197,137.8207,Hotel Ohashi Iida
399,Manokwari,ID,84.4,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
403,Huilong,CN,76.93,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
406,Tura,IN,82.02,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
408,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
409,Luganville,VU,83.21,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
410,Bacolod,PH,87.06,overcast clouds,10.6667,122.95,Planta Hotel & Residences
411,Tabou,CI,75.52,light rain,4.423,-7.3528,hotêl doufoulougou
413,Erenhot,CN,77.97,scattered clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
414,Liku,ID,79.84,overcast clouds,-0.7275,119.8922,Wahyu
415,Khonsa,IN,77.16,overcast clouds,27.0167,95.5667,
419,Marzuq,YE,75.63,few clouds,14.4,46.4667,
426,Brigantine,US,76.01,scattered clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
428,Weihai,CN,75.83,overcast clouds,37.5017,122.1136,Beihai Travel Resort
429,Dentsville,US,78.6,clear sky,34.064,-80.9582,Columbia Northeast Hotel
431,Atar,MR,85.17,clear sky,20.5169,-13.0499,Oumou Elghoura
435,Sabang,ID,83.73,overcast clouds,5.8933,95.3214,Hotel Citra
436,Labrea,BR,75.92,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
437,Arlit,NE,82.49,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
444,Kudahuvadhoo,MV,83.3,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
445,Balkanabat,TM,76.35,broken clouds,39.5108,54.3671,Nebitchi Hotel
447,Sungairaya,ID,88.3,scattered clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
450,Harper,LR,76.35,overcast clouds,4.375,-7.7169,Screensaver
451,Port-Gentil,GA,77.49,broken clouds,-0.7193,8.7815,Fengshui Residence
452,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
459,Ouahigouya,BF,84.16,light rain,13.5828,-2.4216,Hotel Liberte
462,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
463,Ceres,US,82.72,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
468,El Cobre,CU,78.24,scattered clouds,20.0489,-75.9469,Hotel El Cobre
476,Izumo,JP,76.89,few clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
477,Tual,ID,83.44,few clouds,-5.6667,132.75,Grand Vilia Hotel
480,Bilma,NE,82.92,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
487,Tuensang,IN,80.42,broken clouds,26.2833,94.8333,B.W.D Resthouse.
488,Duki,PK,80.67,clear sky,30.1541,68.5728,Bhari Dada Kaka Hotel
491,Namatanai,PG,85.46,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
493,Lorengau,PG,86.04,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
496,Parasia,IN,83.16,clear sky,22.2,78.7667,Hotel Navrang
498,Kismayo,SO,79.61,broken clouds,-0.3582,42.5454,Agan-Hotel
501,Phan Thiet,VN,83.17,overcast clouds,10.9333,108.1,Hotel Saigon-PT
506,Canyon Lake,US,77.18,few clouds,29.8752,-98.2625,The Lodge At Turkey Cove
508,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
509,Daru,PG,84.99,scattered clouds,-9.0763,143.2092,Daru Lodge
511,Auki,SB,84.76,scattered clouds,-8.7676,160.7034,Auki Motel
513,Barra Dos Coqueiros,BR,75.22,broken clouds,-10.9089,-37.0386,Quality Hotel Aracaju
519,Ankola,IN,82.49,overcast clouds,14.6667,74.3,Hotel Kamat Plus
520,Aksu,CN,82.36,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
523,Kupang,ID,87.57,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
525,Guanica,PR,79.05,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
526,Baruun-Urt,MN,75.61,few clouds,46.6806,113.2792,Ахмадын амралт сувилал
530,Thinadhoo,MV,83.55,overcast clouds,0.5333,72.9333,
533,Vieux-Habitants,GP,76.57,overcast clouds,16.0589,-61.7659,Gîtes Dardanelle
534,Nagato,JP,79.2,overcast clouds,34.3833,131.2,いそう庵
536,Rangapara,IN,80.58,overcast clouds,26.8167,92.65,Bidhan
539,Moerai,PF,79.05,few clouds,-22.4333,-151.3333,Le Manotel
543,Sarangani,PH,83.05,overcast clouds,5.4033,125.4636,Ballistic Islet
546,Moroni,KM,78.89,overcast clouds,-11.7022,43.2551,Hotel les Arcades
550,Moctezuma,MX,78.91,clear sky,29.8,-109.6667,Hotel Lobohombo
553,Anloga,GH,78.75,overcast clouds,5.7947,0.8973,Pin Drop Hotel
556,Port Hedland,AU,84.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
558,Puri,IN,82.92,heavy intensity rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
559,Robertsport,LR,77.16,moderate rain,6.7533,-11.3686,Kwepunha Retreat
560,Sorong,ID,83.53,broken clouds,-0.8833,131.25,Waigo Splash Hotel
565,Estelle,US,78.01,overcast clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
570,Venice,US,83.14,mist,27.0998,-82.4543,A Beach Retreat On Casey Key
572,Eyl,SO,82.15,broken clouds,7.9803,49.8164,Amiin Hotel
585,Nieuw Amsterdam,SR,75.36,overcast clouds,5.8833,-55.0833,Hotel Stardust
588,Barh,IN,87.4,clear sky,25.4833,85.7167,Rasulla
594,Muli,MV,83.41,broken clouds,2.9167,73.5667,Medhufushi Island Resort
597,Ormara,PK,87.33,clear sky,25.2088,64.6357,Kenara Colony house for Rent
600,Aneho,TG,76.69,overcast clouds,6.2333,1.6,Hotel La Linette
602,Bodden Town,KY,82.4,haze,19.2833,-81.25,Will T Place
605,Mandal,IN,85.32,clear sky,25.45,74.5667,टी star
616,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
618,Fukuma,JP,80.29,light rain,33.7667,130.4667,Masago
619,Changqing,CN,88.75,clear sky,36.5575,116.7272,Hanting Hotel Jinan Changqing West Jingshi Road
620,Tarakan,ID,78.3,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
621,Bhum,IN,82.29,clear sky,18.4667,75.6667,धनंजय होम
628,Buala,SB,85.48,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
634,Tulagi,SB,83.14,clear sky,-9.0996,160.1476,Raiders Hotel & Dive
637,Pucallpa,PE,77.04,scattered clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
639,Virginia Beach,US,80.67,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
641,Acarau,BR,75.96,clear sky,-2.8856,-40.12,castelo pizzaria
644,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
648,Mae Sai,TH,83.16,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
649,Katobu,ID,87.31,few clouds,-4.9408,122.5276,La Ode Husein
656,Malindi,KE,77.83,overcast clouds,-3.2175,40.1191,African House Resort
657,Honolulu,US,84.02,broken clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
